Employee ID,Full Name,Job Title,Department,Email,Phone Number,Date of Birth,Date of Hire,Salary,Address,Manager Name,Status,Performance Rating,Years of Experience,Education,Emergency Contact,Skills,Projects Assigned
1,Ali Ashraf,Software Engineer,IT,ali.ashraf@example.com,1234567890,2000-01-15,2021-06-01,75000,"123 Main St, Cairo",Mohamed Omar,Full-Time,4.5,2,Bachelor's in Computer Science,"Ahmed Ali, 9876543210","JavaScript, React, Node.js","Project A, Project B"
2,Sara Ahmed,HR Manager,Human Resources,sara.ahmed@example.com,0987654321,1990-05-20,2019-03-15,90000,"456 Second St, Alexandria",Khaled Mohamed,Full-Time,4.7,8,"Master's in HR","Fatma Ali, 1122334455","Recruitment, Employee Relations","Project C"
3,Omar Khaled,Data Analyst,Data,o.khaled@example.com,1230987654,1995-11-05,2022-01-10,68000,"789 Third St, Giza",Amr Hassan,Contract,4.0,3,"Bachelor's in Statistics","Ali Fahmy, 4433221100","Python, SQL, Excel","Project D"
4,Noha Hassan,Marketing Specialist,Marketing,noha.hassan@example.com,5671230987,1988-08-30,2020-07-22,64000,"101 Fourth St, Cairo",Salma Fathy,Part-Time,4.2,5,"Bachelor's in Marketing","Mona Fathy, 5544332211","Content Creation, SEO, Social Media","Project E"
5,Yasser Mostafa,Sales Manager,Sales,yasser.mostafa@example.com,8765432109,1985-12-10,2017-09-14,95000,"202 Fifth St, Mansoura",Ali Mahmoud,Full-Time,4.6,10,"Master's in Business Administration","Heba Yasser, 6677889900","Negotiation, CRM, Customer Service","Project F"
6,Laila Tarek,Product Designer,Design,laila.tarek@example.com,2345678901,1993-03-25,2021-04-18,72000,"303 Sixth St, Tanta",Mohamed Adel,Full-Time,4.3,4,"Bachelor's in Graphic Design","Tarek Ali, 1233211234","UI/UX Design, Adobe XD, Figma","Project G, Project H"
7,Hany Ayman,Network Administrator,IT,hany.ayman@example.com,4321098765,1992-06-15,2018-12-01,80000,"404 Seventh St, Asyut",Ahmed Karim,Full-Time,4.4,6,"Bachelor's in Network Engineering","Mohamed Hany, 3344556677","Networking, Cybersecurity, VPN","Project I"
8,Farah Amr,Legal Advisor,Legal,farah.amr@example.com,5678901234,1989-02-20,2016-05-05,85000,"505 Eighth St, Luxor",Sherif Nabil,Full-Time,4.8,9,"Bachelor's in Law","Khaled Amr, 9988776655","Legal Compliance, Contract Law","Project J"
9,Mohamed Salah,Finance Analyst,Finance,m.salah@example.com,8765123490,1991-04-18,2023-02-02,70000,"606 Ninth St, Hurghada",Ahmed Osama,Contract,4.1,2,"Bachelor's in Accounting","Samy Salah, 1122112233","Financial Analysis, Budgeting, Excel","Project K"
10,Amal Reda,Customer Service Rep,Customer Support,amal.reda@example.com,9876543210,1994-07-07,2021-11-11,50000,"707 Tenth St, Suez",Yasmin Farouk,Full-Time,4.0,3,"Diploma in Communication","Reda Ahmed, 4455667788","Customer Support, Problem Solving","Project L"
